StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek_x,PreviousGrade_x,ExtracurricularActivities,ParentalSupport,FinalGrade,StudyHoursPerWeek_y,PreviousGrade_y,Pass/Fail
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,58.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,59.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,64.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,64.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,60.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,61.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,62.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,64.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,55.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,64.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,58.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,56.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,56.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,65.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,56.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,8.0,55.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,6.0,63.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,57.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,9.0,58.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,56.0,0.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,7.0,60.0,1.0
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,10.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,59.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,56.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,64.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,62.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,63.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,62.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,58.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,59.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,64.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,64.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,60.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,61.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,62.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,64.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,64.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,58.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,56.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,56.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,65.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,56.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,8.0,55.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,6.0,63.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,57.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,9.0,58.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,56.0,0.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,7.0,60.0,1.0
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,10.0,55.0,0.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,67.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,6.0,71.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,71.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,74.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,66.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,71.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,6.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,66.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,74.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,74.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,66.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,70.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,69.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,66.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,74.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,70.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,67.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,71.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,67.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,6.0,68.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,74.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,67.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,6.0,66.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,7.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,8.0,69.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,72.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,73.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,69.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,70.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,9.0,70.0,1.0
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,10.0,67.0,1.0
